POSTCODE,Number of meters,Consumption (kWh),Mean consumption (kWh),Median consumption (kWh)
W2 6DT,6,56283.877349,9380.6462249,7579.6241345
W2 6DX,111,957026.70623,8621.8622183,6981.206726
W2 6DY,30,542936.69634,18097.889878,14838.773492
W2 6ED,22,167361.02868,7607.3194857,6378.3382789
W2 6EE,22,227656.77547,10348.035249,9220.5736894
W2 6EF,22,255946.58754,11633.935797,11065.776459
W2 6EH,22,217348.17013,9879.4622786,8101.3847676
W2 6EJ,22,237626.11276,10801.186944,8196.3402572
W2 6ET,33,291469.83185,8832.419147,5680.5143422
W2 6EU,9,76856.577646,8539.6197384,9283.8773492
W2 6EW,22,221967.35905,10089.425411,7497.5272008
W2 6HA,24,231593.47181,9649.7279921,4546.983185
W2 6HB,21,204054.40158,9716.8762658,9441.1473788
W2 6HH,22,239105.83581,10868.447082,10418.892186
W2 6HP,101,780995.0544,7732.624301,6898.1206726
W2 6HS,21,182363.00692,8683.9527107,6226.5084075
W2 6HT,102,800861.52324,7851.5835612,5756.181998
W2 6HU,124,993824.92582,8014.7171437,6661.7210682
W2 6HX,28,273969.33729,9784.6191889,8467.8536103
W2 6JE,17,192381.8002,11316.576482,11419.386746
W2 6LH,11,35531.15727,3230.1052064,3333.3333333
W2 6LL,17,179986.15232,10587.420725,8676.5578635
W2 6LQ,16,227534.12463,14220.882789,14225.024728
W2 6ND,5,83193.867458,16638.773492,9140.4549951
W2 6NE,62,570591.49357,9203.088606,8774.975272
W2 6NF,47,578497.5272,12308.458026,10645.895153
W2 6NG,49,589367.95252,12027.917398,10176.063304
W2 6NH,32,333827.89318,10432.121662,9284.8664688
W2 6NJ,15,213829.87141,14255.324761,13264.094955
W2 6NQ,28,256943.62018,9176.5578635,7200.7912957
W2 6PE,32,336010.88032,10500.34001,10674.579624
W2 6PL,14,124348.17013,8882.012152,8766.5677547
W2 6PP,33,370380.81108,11223.660942,9360.0395648
W2 6PQ,11,189577.6459,17234.331445,12238.377844
W2 6PT,14,100145.40059,7153.2428995,7766.0731949
W2 6QA,20,230157.27003,11507.863501,10366.468843
W2 6QJ,41,311694.36202,7602.3015126,3808.1107814
W2 6QS,18,156956.47873,8719.8043741,5880.3165183
W2 6QT,66,529205.73689,8018.2687408,6929.2779426
W9 1AD,5,276079.12957,55215.825915,61083.086053
W9 1AE,32,367241.3452,11476.292038,9525.2225519
W9 1AF,25,250067.26014,10002.690406,8212.6607319
W9 1AH,12,229894.16419,19157.847016,15527.695351
W9 1AL,31,426263.10584,13750.422769,13597.428289
W9 1AN,35,971757.66568,27764.504734,21348.170129
W9 1AP,10,69232.443126,6923.2443126,4315.529179
W9 1AS,9,94238.377844,10470.930872,10671.612265
W9 1AT,12,140367.95252,11697.329377,12413.946588
W9 1AU,68,1076623.1454,15832.693315,10701.780415
W9 1AW,14,222744.80712,15910.343366,16902.077151
W9 1AY,41,597993.07616,14585.19698,11176.063304
W9 1BE,59,852659.74283,14451.860048,9363.9960435
W9 1BG,77,822999.01088,10688.298843,9490.603363
W9 1BH,24,483977.25025,20165.71876,10756.676558
W9 1BL,6,62157.27003,10359.545005,11317.507418
W9 1BN,11,210255.19288,19114.108443,15615.232443
W9 1BP,8,146164.19387,18270.524233,17803.165183
W9 1BQ,51,692792.28487,13584.162448,10640.949555
W9 1BW,12,238748.7636,19895.7303,16646.389713
W9 1BY,9,176458.95153,19606.55017,16766.567755
W9 1DA,19,240705.24233,12668.696965,10145.400593
W9 1DB,36,311134.52028,8642.6255632,8072.2057369
W9 1DE,20,457652.81899,22882.64095,21940.158259
W9 1DG,13,59289.812067,4560.7547744,4621.1671612
W9 1DJ,52,634815.03462,12207.981435,9676.5578635
W9 1DL,55,734665.67755,13357.557774,10739.861523
W9 1DN,50,751847.67557,15036.953511,11911.473788
W9 1DP,70,1336038.5757,19086.265367,15592.48269
W9 1DR,64,983186.94362,15362.295994,13595.944609
W9 1DS,16,228111.77052,14256.985658,12424.332344
W9 1DT,28,591467.85361,21123.851915,17694.856578
W9 1DW,60,721010.88032,12016.848005,8535.6083086
W9 1DX,14,256223.54105,18301.681503,19211.671612
