POSTCODE,Number of meters,Consumption (kWh),Mean consumption (kWh),Median consumption (kWh)
W9 2NT,44,480231.45401,10914.351227,10120.672601
W9 2NU,26,385879.3274,14841.512592,14276.953511
W9 2PD,29,369189.91098,12730.686585,10551.928783
W9 2PF,17,629463.89713,37027.288067,35850.642928
W9 2PH,63,1154201.7804,18320.663181,13790.306627
W9 2PP,89,1013157.27,11383.789551,9439.1691395
W9 2PR,71,682857.56677,9617.712208,8704.2532146
W9 2PS,23,482048.46686,20958.628994,18498.51632
W9 2PT,22,635041.54303,28865.524683,26089.020772
W9 2PU,83,763645.89515,9200.5529537,8628.090999
W9 2PX,10,215093.96637,21509.396637,16722.551929
W9 2PY,27,480721.06825,17804.484009,13940.652819
W9 2PZ,14,155978.23937,11141.302812,11383.778437
W9 2QA,12,230777.44807,19231.454006,16728.486647
W9 2QB,56,479070.2275,8554.825491,7150.8407517
W9 2QH,39,486542.03759,12475.436861,10374.87636
W9 2QJ,49,535734.91592,10933.365631,9435.2126607
W9 2QN,56,604752.72008,10799.155716,9069.2383778
W9 2QP,73,878174.08506,12029.781987,9358.0613254
W9 2QR,32,344071.21662,10752.225519,9360.0395648
W9 2QS,62,559883.28388,9030.3755464,9161.7210682
W9 2QU,47,398197.82394,8472.2941263,7799.2087043
W9 2QW,39,492945.59842,12639.630729,9782.3936696
W9 2RA,18,199602.37389,11089.020772,11182.492582
W9 2RB,20,182979.22849,9148.9614243,7322.9475767
W9 3AA,59,714444.11474,12109.222284,10288.822948
W9 3AH,45,509877.34916,11330.607759,9447.0820969
W9 3AJ,44,404631.05836,9196.1604172,8752.7200791
W9 3AL,75,767390.70227,10231.87603,8836.7952522
W9 3AN,8,72514.342235,9064.2927794,9597.9228487
W9 3AP,77,873589.51533,11345.318381,9758.6547972
W9 3AR,79,894015.82591,11316.656024,9297.7250247
W9 3AS,21,217440.15826,10354.29325,8258.1602374
W9 3AT,55,540929.7725,9835.0867728,7830.8605341
W9 3BA,69,643583.58061,9327.2982698,7612.2650841
W9 3BB,63,689001.97824,10936.539337,9454.9950544
W9 3BE,66,621793.27399,9421.1102119,7735.4104847
W9 3BG,7,101401.58259,14485.94037,10868.447082
W9 3BH,10,130002.96736,13000.296736,12338.278932
W9 3BJ,82,839148.36795,10233.516682,9564.7873393
W9 3BL,88,870996.04352,9897.6823127,9594.4609298
W9 3BN,93,962493.57072,10349.393234,8535.1137488
W9 3BQ,64,654935.70722,10233.370425,9365.479723
W9 3BW,11,108099.90109,9827.2637353,9390.702275
W9 3DA,100,920880.31652,9208.8031652,8138.4767557
W9 3DB,63,636526.21167,10103.590661,9671.6122651
W9 3DD,64,639202.76954,9987.543274,7895.6478734
W9 3DE,88,954090.99901,10841.943171,10077.645895
W9 3DF,42,420465.87537,10011.092271,9301.1869436
W9 3DG,48,422733.92681,8806.9568084,7729.4757666
W9 3DH,9,59730.959446,6636.7732718,6229.4757666
W9 3DJ,35,370527.20079,10586.491451,9885.2621167
W9 3DL,32,369746.78536,11554.587043,11043.026706
W9 3DN,7,68948.565776,9849.7951109,9963.4025717
W9 3DQ,54,523849.65381,9700.919515,8373.8872404
W9 3DR,27,390101.87933,14448.217753,13465.875371
W9 3DS,30,350365.97428,11678.865809,10472.304649
W9 3DT,6,81337.289812,13556.214969,13184.965381
W9 3DW,5,2678.5361029,535.70722057,497.52720079
W9 3DY,71,631489.61424,8894.2199189,7861.5232443
W9 3EB,46,413704.25321,8993.5707221,9048.4668645
W9 3ED,64,745998.02176,11656.21909,9611.2759644
W9 3EF,60,699963.40257,11666.05671,9378.8328388
W9 3EJ,28,275661.72107,9845.0614667,10218.59545
W9 3EL,78,777537.09199,9968.4242563,8981.206726
W9 3EN,50,394959.44609,7899.1889219,6432.7398615
W9 3ER,8,6211.6716123,776.45895153,426.31058358
W9 3ET,10,219299.70326,21929.970326,9349.1592483
W9 3EU,27,330986.15232,12258.746382,9261.1275964
W9 3EW,14,248760.63304,17768.616645,12657.27003
W9 3EY,31,330665.67755,10666.63476,9384.7675569
W9 3EZ,14,223823.9367,15987.42405,16524.233432
W9 3HE,65,595045.49951,9154.5461462,9013.8476756
W9 3HF,71,624490.60336,8795.6423009,7324.4312562
W9 3HH,54,438711.17705,8124.2810565,7612.2650841
W9 3HJ,20,205314.54006,10265.727003,10215.133531
W9 3HL,59,577103.85757,9781.4213147,8160.2373887
W9 3HN,58,510935.70722,8809.2363314,8315.529179
W9 3HP,15,133818.9911,8921.2660732,5034.6191889
W9 3HR,70,703097.92285,10044.256041,9820.9693373
W9 3HS,21,260016.81503,12381.753097,10310.583581
W9 3HT,9,94443.125618,10493.680624,9769.5351137
W9 3HU,22,233081.10781,10594.59581,9061.3254204
W9 3HX,48,383999.01088,7999.9793933,7554.4015826
W9 3HY,67,723153.31355,10793.333038,9186.9436202
W9 3HZ,12,109047.47774,9087.2898121,9402.5717112
W9 3JE,13,138716.12265,10670.470973,8363.9960435
W9 3JF,70,658837.78437,9411.9683482,8209.1988131
W9 3JH,21,305007.91296,14524.186331,11555.885262
W9 3JJ,18,219290.80119,12182.822288,8723.0464886
W9 3JL,28,292272.00791,10438.285997,8676.0633037
W9 3JN,20,204928.78338,10246.439169,8984.6686449
W9 3JP,11,103385.75668,9398.7051524,5320.4747774
W9 3JQ,10,84951.533136,8495.1533136,6934.7181009
W9 3JR,49,454291.79031,9271.2610267,7954.5004946
W9 3JS,92,1138311.5727,12372.951877,9454.9950544
W9 3JT,60,635397.62611,10589.960435,9414.4411474
W9 3JU,39,458538.08111,11757.386695,10648.862512
W9 3JX,55,574202.76954,10440.050355,9172.1068249
W9 3LF,39,411971.31553,10563.367065,8701.2858556
W9 3LL,67,614016.81503,9164.4300751,8677.5469832
W9 3LP,26,256637.9822,9870.6916229,10388.724036
W9 3LQ,10,137249.25816,13724.925816,11358.555885
W9 3LR,26,273891.19683,10534.276801,10090.009891
W9 3LU,50,530522.25519,10610.445104,9528.189911
W9 3LX,58,516436.20178,8904.0724445,9279.4263106
W9 3LY,13,9236.3996044,710.49227726,494.55984174
W9 3LZ,16,47009.891197,2938.1181998,392.68051434
W9 3NG,64,629615.23244,9837.7380069,8569.7329377
W9 3NH,119,1143106.8249,9605.9397053,8265.0840752
W9 3NL,8,98315.529179,12289.441147,12821.958457
W9 3NN,15,112713.15529,7514.2103528,7396.6369931
W9 3NQ,104,1058169.1395,10174.703264,8174.5796241
W9 3NW,74,454409.49555,6140.6688588,5212.6607319
W9 3NX,20,161786.35015,8089.3175074,6957.4678536
W9 3PE,58,576056.37982,9932.0065487,9050.4451039
W9 3PF,25,332458.95153,13298.358061,9001.9782394
W9 3PG,18,192370.91988,10687.273327,9556.8743818
W9 3PH,20,197597.42829,9879.8714144,10234.915925
W9 3PJ,20,238425.32146,11921.266073,9763.6003956
W9 3PL,21,252939.6637,12044.74589,12085.064293
W9 3PN,32,335776.45895,10493.014342,9153.8081108
W9 3PQ,34,370268.05143,10890.236807,10165.677547
W9 3PR,18,158274.97527,8793.0541818,7561.3254204
W9 3PU,22,162647.87339,7393.0851542,6462.9080119
W9 3PY,15,123411.47379,8227.4315859,5889.2185955
W9 3QA,28,281442.1365,10051.504875,7452.5222552
W9 3QF,19,308003.95648,16210.734552,9312.56182
W9 3QJ,16,186638.97132,11664.935707,10489.614243
W9 3RE,11,140757.66568,12796.151425,12350.148368
W9 3RH,18,182244.31256,10124.684031,9776.4589515
W9 3RJ,26,209110.7814,8042.7223617,7506.4292779
W9 3RQ,17,93784.371909,5516.7277594,6089.0207715
W9 3RU,17,162533.13551,9560.772677,7579.6241345
W9 3SP,39,633058.35806,16232.265591,16519.287834
W9 3TA,27,147370.91988,5458.1822178,3393.669634
W9 3TB,35,182624.13452,5217.8324149,4707.2205737
W9 3TE,7,79743.818002,11391.974,11166.172107
W9 3TF,8,67883.283877,8485.4104847,7495.0544016
W9 3TJ,16,119729.97033,7483.1231454,6050.9396637
W9 3TL,8,94664.688427,11833.086053,10771.513353
W9 3TN,18,97129.574679,5396.0874821,4325.4203759
W9 3TP,19,132245.30168,6960.2790359,6881.305638
W9 3TQ,18,141796.24135,7877.5689636,6597.9228487
W9 3TU,78,1635456.9733,20967.397094,19960.435213
W9 3TX,39,243954.50049,6255.2436024,5977.2502473
W9 3TY,7,46144.411474,6592.058782,6080.1186944
WC2B 4AA,18,98311.5727,5461.7540389,5620.6726014
WC2B 4AB,19,100287.83383,5278.3070436,4063.3036597
WC2B 4AF,21,97276.953511,4632.2358815,4528.189911
WC2B 4AG,16,96500.49456,6031.28091,5895.6478734
WC2B 4AH,23,101794.26311,4425.8375263,4363.0069238
WC2B 4AY,13,87254.203759,6711.8618276,5682.4925816
WC2B 4BD,17,117040.55391,6884.7384651,6554.8961424
WC2B 4BJ,18,148726.01385,8262.5563249,6598.4174085
WC2B 4BQ,16,76815.034619,4800.9396637,5018.2987141
WC2B 4BS,21,108377.84372,5160.8497009,4545.9940653
WC2B 4BW,17,125091.98813,7358.352243,7354.1048467
WC2B 4BX,19,92705.242334,4879.2232808,4419.3867458
WC2B 5EU,27,122777.44807,4547.3128915,2857.5667656
WC2B 5JS,14,176948.56578,12639.18327,5366.4688427
WC2B 5RR,7,67954.500495,9707.7857849,9273.9861523
WC2B 5SD,19,92074.183976,4846.009683,4000.9891197
WC2B 5SF,19,132313.55094,6963.8711021,6884.272997
WC2E 7BD,12,75975.272008,6331.2726673,5193.867458
WC2E 7BL,9,54570.722057,6063.4135619,5018.793274
WC2E 7HG,6,29581.602374,4930.2670623,4614.7378833
WC2E 7NU,28,211924.8269,7568.743818,6504.9455984
WC2E 7QG,27,145202.76954,5377.8803532,5552.9179031
WC2E 9AR,5,65000.0,13000.0,12727.002967
WC2E 9AX,10,137080.11869,13708.011869,6389.7131553
WC2E 9JS,9,57010.880317,6334.5422574,4350.148368
WC2E 9JY,5,35208.704253,7041.7408506,6779.4263106
WC2E 9LU,7,27823.936696,3974.8480995,1210.6824926
WC2E 9NG,8,115949.5549,14493.694362,8024.2334322
WC2H 0AT,7,116668.64491,16666.949272,8351.1374876
WC2H 0EP,6,73601.384768,12266.897461,11676.063304
WC2H 0HU,12,65506.429278,5458.8691065,4890.702275
WC2H 7AD,10,164231.45401,16423.145401,8016.3204748
WC2H 7BA,13,69819.980218,5370.767709,4053.4124629
WC2H 7BG,5,50241.345203,10048.269041,6913.9465875
WC2H 7ER,5,76949.554896,15389.910979,13719.09001
WC2H 7JA,9,39776.458952,4419.6065502,3997.0326409
WC2H 7JE,11,99096.933729,9008.8121572,8563.7982196
WC2H 8HD,11,69486.646884,6316.9678986,5004.9455984
WC2H 9JY,9,73754.698318,8194.9664798,6924.8269041
WC2H 9QB,8,82864.490603,10358.061325,11290.801187
WC2N 4BJ,8,50418.397626,6302.2997033,6577.1513353
WC2N 4DQ,26,196806.13254,7569.4666362,7186.9436202
WC2N 5DS,5,67633.036597,13526.607319,9129.5746785
WC2N 5NT,18,227631.05836,12646.169909,10774.975272
WC2N 5PB,6,140699.30762,23449.884603,27098.417409
WC2N 6AS,10,96897.131553,9689.7131553,9990.1088032
WC2N 6DR,6,92357.072206,15392.845368,12340.751731
WC2N 6JN,9,102747.77448,11416.419387,6447.0820969
WC2N 6JU,11,115270.02967,10479.093607,7915.9248269
WC2N 6LS,5,28181.008902,5636.2017804,5877.3491592
WC2N 6NE,9,54722.057369,6080.2285965,3848.6646884
WC2R 1JA,10,159701.28586,15970.128586,11756.181998
VNW00140,19,567649.8516299999,35177.1411905,34825.667656
VNW00144,84,2212386.74579,25640.204822666667,23645.400593500002
VNW00145,24,563263.10584,23469.296076,22816.518299
VNW00147,58,1055967.35905,17265.842885,17683.481701
VNW00150,67,785837.78438,11711.8001095,9224.530168149999
VNW00154,76,882962.41346,11608.9976435,9596.439169
VNW00155,11,8567.7546984,821.00230793,600.395647895
VNW00157,21,377947.57666,18031.579894000002,12543.0267065
VNW00158,22,433618.19979999994,19709.9181725,18290.306626999998
VNW00159,17,366904.05539,21215.3433445,21486.8941645
VNW00161,44,363376.85459999996,8266.26277615,7469.3372898
VNW00162,6,134616.22156,22436.036927,16926.310584
VNW00163,9,54795.252226,6088.3613584,7207.7151335
VNW00166,13,144732.93768600002,11215.4161365,11081.6023735
VNW00167,19,193130.563798,10132.8230376,10387.2403561
VNW00168,55,218349.15924799998,4124.621247725,435.212660735
VNW00173,16,4425.3214639,276.582591495,171.117705245
VNW00175,5,3362.0178042,672.40356083,328.38773492
VNW00176,10,12233.432245,1223.3432245,305.14342235
VNW00177,22,292677.54698,13303.524863,13159.248269
VNW00178,14,173365.97428,12383.283877,10752.720079
VNW00179,22,322270.02967,14648.637712,11090.009891
VNW00180,5,1549.950544,309.9901088,332.34421365
VNW00181,11,167811.07814,15255.552558,13553.907023
VNW00184,56,620265.0840800001,14084.424662,12567.0128585
VNW00185,9,150307.61622,16700.846247,14545.004946
VNW00187,61,504047.47774,8092.00351685,5383.283877350001
VNW00188,38,594617.21068,15647.821334,14688.4273
VNW00189,12,111332.34421,9277.6953511,7047.4777448
VNW00190,24,217176.0633,9049.0026377,8541.5430267
VNW00193,24,187471.810089,8055.574154366666,6970.3264095
VNW00194,42,444005.93472,11013.093508,9671.61226485
VNW00195,100,785209.69337,7800.876055950001,6881.800197799999
VNW00196,47,279292.779425,6104.06054235,6233.4322453
VNW00198,6,29146.389713,4857.7316189,4743.818002
VNW00200,11,96903.066271,8809.369661,8260.1384768
VNW00202,53,579229.47577,11151.452279000001,8403.066271
VNW00203,15,133018.79327,8867.9195516,6192.8783383
VNW01052,51,41074.183976,819.5633743149999,607.8140455
VNW01123,36,285758.6548,10569.46982205,10260.6330366
VNW01131,44,582268.05144,13233.364805500001,10682.98714125
VNW01134,17,493596.43917,29035.084657,29582.591494
VNW01135,36,956485.65776,26569.046049,26422.848665
VNW01136,36,925260.13848,25701.670513,22052.423343
VNW01138,24,572102.86845,23152.293196,15144.4114735
VNW01145,27,450222.55193,16674.909331,11050.445104
VNW01148,10,174134.52028,17413.452028,15174.579624
VNW01149,6,48955.489614,8159.248269,6558.8526212
VNW01150,5,4124.6290801,824.92581602,681.50346192
VNW01151,38,618287.8338299999,16158.0488195,12547.4777445
VNW01156,73,680411.47379,9326.2659616,8299.950544
VNW01157,10,67412.462908,6741.2462908,7321.46389715
VNW01159,15,157970.326407,9792.9168042,6342.4826904
VNW01161,14,258597.428288,18120.796241,14610.039565
VNW01164,46,288778.43719,6277.7921128,4764.5895153
VNW01165,52,851601.384771,16048.773020666667,14318.496538
VNW01167,13,140376.8546,10798.219585,11945.598417
VNW01169,47,472761.622159,9942.3413874,7715.87537095
VNW01171,38,208596.43917,5489.3799781,5637.9821958
VNW01173,12,100143.42235,8345.2851962,5587.0425321
VNW01174,7,2553.9070227,364.84386039,289.81206726
VNW01175,61,502086.05341,8235.54343085,7791.29574675
VNW01176,43,484483.67952999996,17927.53396845,15727.497527149999
VNW01179,75,642258.160239,8174.77784045,6451.03857565
VNW01180,22,246752.72008,11216.032731,7341.2462908
VNW01182,43,397454.99505,9243.1394199,8450.049456
VNW01183,65,102991.097923,1524.167490945,315.034619185
VNW01184,28,318434.22354000004,11396.4214155,9983.67952545
VNW01185,28,286326.40949,10225.9431965,8885.509396649999
VNW01188,10,42866.468843,4286.6468843,531.65182987
VNW01190,6,3734.9159248,622.48598747,471.81008902
VNW01192,19,22872.4035609,1059.7004380600001,402.8189911
VNW01193,21,34856.5776463,1725.0067440199998,475.02472799500003
VNW01196,28,319038.57567,10029.53476685,10033.630069
VNW01197,26,256823.936698,10070.3786129,8779.67359035
VNW01198,68,753205.736896,12051.266230333335,9970.3264095
VNW01199,25,187136.498514,8209.5697329,7322.94757665
VNW01200,48,335867.45796,6955.833778533332,6129.5746785
VNW01201,18,136746.785361,7597.04363115,8113.7487636000005
VNW01202,24,139948.56578,5831.1902407,5744.8071217
VNW01205,23,178559.84174,7763.47138,6822.9475767
VNW01206,52,626119.68348,12040.763144,10900.593472
VNW01207,12,7684.470821,640.37256841,439.16913947
VNW01208,14,73855.588526,5275.3991804,4909.0009891
VNW01209,26,25397.626113,976.83177357,725.02472799
VNW01210,15,27299.703264,1819.9802176,1247.2799209
VNW01212,52,607191.8892099999,11538.947917,10476.2611275
VNW01213,28,282866.468847,9696.5022181,9229.4757667
VNW01216,34,165265.0840798,3601.6361687900003,1662.4629080149998
VNW01219,20,9549.9505441,470.10660512,389.21859545
VNW01220,38,63432.245301,1669.80857625,582.59149357
VNW01222,95,1003870.4253199999,10716.818567499999,10094.21365005
VNW01223,36,410987.14144,11416.309485,12035.113749
VNW01224,35,19609.2977253,567.985492915,462.660731945
VNW01225,33,53679.525222,1771.4858776,683.9762611250001
VNW01226,30,38980.217607,1345.49420659,448.071216615
VNW01227,95,646703.2641,6820.8693263000005,6218.59545005
VNW01229,73,1013814.0455,12913.0937245,10974.7774479
VNW01230,16,221503.46192,13843.96637,15059.841741
VNW01231,14,117903.06627,8421.6475908,7520.2769535
VNW01232,27,125518.29871500001,4619.49326635,894.6587537099999
VNW01234,54,331399.604351,5596.904445825,4297.2304649
VNW01237,30,352442.1365,13544.1335781,11172.1068249
VNW01238,55,265996.043518,4716.189113433334,3858.5558853
VNW01239,26,389460.92977000005,28655.555555799998,28886.74579645
VNW01240,8,21356.083086,2669.5103858,461.42433234
VNW01241,11,5393.669634,490.33360309,422.35410485
VNW01242,129,1038462.90801,8621.6202973,8757.6656775
VNW01243,36,254436.20178,7041.221562799999,6310.83086055
VNW01244,6,136314.54006,22719.09001,14424.826904
VNW01247,6,61922.848665,10320.474777,10586.547972
VNW01249,5,122683.4817,24536.69634,19079.129575
VNW01431,7,70106.824926,10015.260704,10057.368942
VNW01667,21,508720.07913,24224.765673,22437.1909
VNW01668,5,87330.365974,17466.073195,16890.207715
VNW01673,11,275575.66766,25052.333423,16345.20277
VNW01750,30,766874.3818,25562.479393,17271.018793
VNW01753,57,485470.82097,8517.428632449999,7621.16716125
VNW01773,31,40521.266073,1291.810913295,528.931750745
VNW01823,31,637079.12957,20563.736928,18080.860534
VNW01849,70,829232.443122,13650.0190615,13403.066271
VSW01030,11,182208.70425299997,16651.467194,11490.603363
VSW01033,6,78525.222552,13087.537092,10432.739862
VSW01042,7,45458.951533,6494.1359333,6829.8714144
VSW01044,6,133381.8002,22230.300033,14664.688427
VSW01054,5,88282.888229,17656.577646,10403.560831
VSW01071,8,147104.84669,18388.105836,19567.260138
VSW01072,5,73436.20178,14687.240356,13680.514342
VSW01079,7,102964.39169,14709.198813,9570.7220574
VSW01085,32,490312.56182000006,16308.641309499999,14623.145400500001
VSW01091,5,68050.445104,13610.089021,6872.4035608
VSW01096,107,725497.5272029999,6452.028043900001,793.27398615
VSW01103,9,119913.94659,13323.771843,14321.463897
VSW01108,16,300737.88328,18796.117705,15347.675569
VSW01112,12,336479.72305,28039.976921,24005.934718
VSW01118,7,127973.29377,18281.89911,7682.4925816
VSW01123,55,508521.26607,10566.61159495,8342.4826904
VSW01129,27,238328.38773,8826.9773235,7954.5004946
VSW01130,59,1182411.47379,20432.006981,20690.158259
VSW01132,5,35517.309594,7103.4619189,8950.5440158
VSW01133,41,249416.41939,6083.3273021,6249.2581602
VSW01135,46,586955.48961,14708.008475,7762.36399605
VSW01138,26,156765.57864,6029.4453321,5062.8090999
VSW01142,44,438572.7003,9870.511975050002,9746.04352105
VSW01143,10,57953.511375,5795.3511375,2854.5994065
VSW01153,7,55148.367953,7878.3382789,6093.9663699
VSW01154,22,273000.0,12409.090909,7453.5113749
VSW01156,7,187742.82888,26820.404126,17110.781405
VSW01158,42,319273.98616,7515.9248269,7432.7398615
VSW01159,21,235490.603359,11358.1827172,10569.98021745
VSW01161,13,274090.99901,21083.923001,17834.817013
VSW01162,5,72595.450049,14519.09001,9378.8328388
VSW01163,21,123854.59941,5897.838067,2812.0672601
VSW01165,52,391534.12463,7529.5023967,7983.1849654
VSW01166,28,333935.70722,12142.288670599999,10862.512364
VSW01167,69,305314.54006,4854.0251676,3305.6379822
VSW01169,60,427246.29081,7121.0950952,6623.6399604
VSW01177,10,190857.56677,19085.756677,8452.0276954
VSW01181,6,181798.21958,30299.703264,28953.016815
VSW01184,12,224219.58457,18684.965381,15189.910979
VSW01185,6,171544.01583,28590.669304,30241.345203
VSW01186,6,208849.65381,34808.275635,28385.756677
VSW01187,9,334563.79822,37173.755358,37547.972305
VSW01190,14,487640.94955,34831.496397,38041.048467
VSW01198,18,124193.86746,6899.6593032,6406.5281899
VSW01200,27,159121.661724,5774.03392235,4840.99901085
VSW01201,71,606498.5163199999,8443.31402195,7887.7349159
VSW01202,13,125600.395648,9488.9666056,8590.5044508
VSW01203,106,696315.529184,6649.069784199999,6319.4856578
VSW01206,79,682837.78437,8966.94201235,7526.2116716
VSW01207,77,617868.44708,8049.3148444,6578.3877349
VSW01208,64,620865.47972,9799.28042635,9008.65479725
VSW01209,106,767901.0880260001,7088.970119333334,6105.8358061
VSW01210,40,412571.71118,11182.1275493,10692.383778250001
VSW01211,21,210603.36301,10028.731572,9078.140455
VSW01212,37,289159.24827,7994.9653194,7562.8090999
VSW01217,21,106751.73095900001,5369.3655504,5088.27893175
VSW01227,41,371350.14837,9057.3206919,7147.3788328
VSW01228,108,882632.04748,7831.65605965,7253.214639
VSW01230,11,156283.87735,14207.625214,15321.463897
VSW01234,22,288880.316514,12717.509184499999,7896.38971315
VSW01240,33,314713.15529,9536.7622816,8341.2462908
VSW01241,13,146487.636,11268.279693,9652.8189911
VSW01242,55,955875.37092,17582.4491205,15574.183976
VSW01243,47,652143.42235,13875.391965,9919.8813056
VSW01245,49,560605.3412499999,10237.65848385,6808.852621149999
VSW01246,12,127396.63699,10616.386416,10577.645895
VSW01249,15,9591.4935707,639.43290471,455.98417409
VSW01250,22,226751.730959,10082.19407915,7824.4312562
VSW01251,21,394670.62314000004,18258.358061,15942.1364985
VSW01252,87,1066123.63996,12710.270359,9924.826904149999
VSW01254,74,684509.39664,9807.95154825,7053.165182999999
VSW01255,16,197571.71117899998,12314.0949555,10394.1641939
VSW01256,10,173085.06429,17308.506429,10290.801187
VSW01257,63,419182.98714,6663.09484555,6063.056379850001
VSW01258,30,41492.581602800004,1193.372898135,684.71810089
VSW01259,16,284363.99604,17772.749753,14696.340257
VSW01261,48,423283.87735,8818.4141114,7052.4233432
VSW01264,89,680217.6063260001,9907.826605766668,10096.439169
VSW01265,6,71656.77547,11942.795912,9919.8813056
VSW01266,25,364618.1998,14584.727992,8511.3748764
VSW01267,41,598955.48961,14608.670478,8731.9485658
VSW01268,54,711888.22948,12653.482425,9435.21266075
VSW01269,16,140539.07023,8783.6918892,8768.5459941
VSW01270,81,815279.92087,10202.36057235,7803.90702275
VSW01271,25,32526.211672,1301.0484669,431.256182
VSW01272,41,353821.95846,9188.1705091,8389.71315505
VSW01274,20,30408.506429,1520.4253215,737.88328388
VSW01278,11,74207.715134,6746.1559212,6384.7675569
VSW01282,14,17659.742829,1261.4102021,1107.3194857
VSW01283,23,16086.053412500001,699.809669395,645.895153315
VSW01284,17,12760.6330366,765.73661943,479.22848665000004
VSW01285,22,11169.1394659,498.1960341,323.93669634
VSW01286,30,28188.921859000002,957.18524798,628.09099901
VSW01287,45,35834.817013,798.582196625,728.981206725
VSW01288,10,59985.163205,5998.5163205,4923.8377844
VSW01289,14,23611.275964,1686.5197117,761.62215628
VSW01290,22,23043.521266,1047.4327848,717.11177052
VSW01291,29,290059.34718,10002.046455,8727.992087
VSW01292,30,242115.72700400001,8688.88229475,7155.2917903
VSW01293,27,20067.260138,743.23185698,684.47082097
VSW01294,32,19948.565776,617.17143171,484.42136498499997
VSW01295,34,32972.304648000005,967.88137505,719.5845697350001
VSW01296,46,45242.3343227,931.29739532,489.61424332
VSW01297,31,25743.818002,847.482516875,583.580613255
VSW01298,79,1008935.70722,11924.544503000001,8914.44114735
VSW01301,140,1308572.7003,9372.1311945,7979.7230465
VSW01306,76,414310.58358000003,5535.4454535333325,3937.6854599
VSW01307,24,201070.2275,8377.9261457,8010.8803165
VSW01310,40,385479.72305000003,12267.974159200001,9954.7477747
VSW01311,73,933354.1048399999,12829.3349185,10798.961424500001
VSW01312,5,5666.6666667,1133.3333333,914.93570722
VSW01313,5,4275.9643917,855.19287834,780.41543027
VSW01315,34,562497.5272,19081.868224499998,12657.2700295
VSW01316,22,301818.991099,12938.1093685,9089.762611350001
VSW01317,54,518657.76457999996,10765.924826800001,9079.87141455
VSW01318,21,387045.49951,18430.738072,12027.695351
VSW01323,7,98721.068249,14103.00975,9883.2838773
VSW01325,8,120006.92384,15000.86548,11772.502473
VSW01326,43,889669.6340300001,21842.026173500002,16018.545994
VSW01328,7,124688.4273,17812.632471,16819.980218
VSW01331,83,1266945.59842,15144.0966745,14111.2759645
VSW01332,11,285807.12166,25982.465606,21519.287834
VSW01334,13,311079.129573,21512.8091,21073.9366962
VSW01342,24,76725.024728,3196.8760303,2438.6745796
VSW01352,33,377881.30562999996,12573.75685665,12133.531157450001
VSW01354,23,359359.050446,14138.20886915,12695.1038577
VSW01355,12,269134.52028,22427.87669,23435.212661
VSW01357,55,384219.58457,6985.8106285,6380.8110781
VSW01359,36,196672.60138,5463.1278162,5540.0593472
VSW01361,33,730793.27399,21564.111440499997,21066.2710185
VSW01363,17,416729.97031999996,25455.8118275,22217.1117705
VSW01365,38,763256.1819999999,18787.589492,18568.743818
VSW01367,52,288233.43224,5498.46770015,4449.0603363
VSW01371,57,508259.14936000004,8953.358296800001,6989.119683499999
VSW01372,39,294943.62017999997,7561.0013535,7429.0306627
VSW01373,19,521192.87834,27431.204123,20431.256182
VSW01375,9,144127.59644,16014.177382,11818.991098
VSW01377,10,90241.345203,9024.1345203,8923.3432245
VSW01380,43,578728.98121,13565.567645,8817.75469835
VSW01382,32,250232.44311999998,7800.9134811,7627.59643915
VSW01383,16,259070.22749000002,16533.951925499998,16633.531157
VSW01384,16,300918.89219,22027.362647500002,18051.9287835
VSW01385,26,535085.06429,20580.19478,12820.474777
VSW01386,25,752375.8654799999,28709.6279165,28382.7893175
VSW01387,16,121874.3818,7617.1488625,5952.0276954
VSW01388,67,1136171.11771,19442.915647499998,17066.7655785
VSW01391,38,43940.652819,1069.71527485,501.73095944500005
VSW01420,38,1207684.47082,34669.6251945,32303.659742999997
VSW01422,11,208028.68447,18911.698588,14498.51632
VSW01426,25,380465.87537,15303.190545,12514.342235600001
VSW01430,28,711683.4817,25408.469403000003,13907.5173098
VSW01432,8,157126.60732,19640.825915,18527.695351
VSW01436,8,31324.431256,3915.553907,941.14737883
VSW01437,6,24038.575668,4006.4292779,2295.7467854
VSW01439,11,4335.3115727,394.11923388,186.94362018
VSW01440,16,374755.687438,21704.681833,20133.7784375
VSW01444,28,183152.324434,5663.4846362,2599.4065282
VSW01445,11,308159.24827,28014.477115,27454.005935
VSW01446,12,160373.88724,13364.490603,6127.1018793
VSW01448,7,97462.908012,13923.272573,7127.5964392
VSW01449,11,177328.38773,16120.762521,14446.092977
VSW01451,8,20645.895153,2580.7368942,760.6330366
VSW01453,24,590047.47775,22685.651115,16716.122651
VSW01454,34,394324.43126,10955.86884205,7648.8625123500005
VSW01455,16,203435.212663,12551.6815035,12084.8170125
VSW01458,7,125889.2186,17984.174085,13744.807122
VSW01461,11,175614.24332,15964.931211,11454.005935
VSW01462,14,172251.2364,12303.659743,7465.8753709
VSW01465,17,366993.07616,21587.82801,19546.983185
VSW01466,22,512438.18002,23292.644546,22942.631058
VSW01480,42,696670.62314,16321.388339500001,15732.937685500001
VSW01481,12,160403.56083,13366.963403,10571.216617
VSW01500,5,83494.559842,16698.911968,11645.895153
VSW01502,5,91746.785361,18349.357072,15068.249258
VSW01516,16,239679.52522,14981.771937,10842.235410500001
